Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2000-01-01;3,9;11;0;33,7;28,7;25,2;59;41;4,2;
2000-01-02;5,6;11,8;0;33,9;29,1;25,4;58;32;2,8;
2000-01-03;5,3;5,9;0;33,2;28,7;26;62,5;45;2,3;
2000-01-04;4,5;3,8;0;31,6;28,6;26,9;63,8;54;1,9;
2000-01-05;4,4;6,2;,1;32,4;27,4;25,4;74;65;3,3;
2000-01-06;3,4;7,9;20;31,7;27,6;24,7;72;53;2,2;
2000-01-07;3;8,4;78,3;30,9;27;24,2;75,8;61;2,3;
2000-01-08;2,6;10,3;6;32,1;26,9;24,9;72,5;53;2;
2000-01-09;3,2;9,2;15,7;30,9;27,6;24,8;71;58;1,7;
2000-01-10;2,7;10,2;,2;31,7;28,3;26,8;68,8;54;5,8;
2000-01-11;3;3,1;,2;31,6;28,1;26,2;64,3;45;4,4;
2000-01-12;3,7;11,2;0;33,1;28,2;25,4;66;46;3,7;
2000-01-13;3,9;6,4;0;32,1;28,3;25,6;65,3;48;5,5;
2000-01-14;4;7,9;0;32,7;28,7;26,5;64,3;45;4;
2000-01-15;3,7;1,8;,8;30,5;27,4;26,3;75,8;64;2,3;
2000-01-16;2;7;6,2;31,1;27,8;25,4;71,8;61;3,2;
2000-01-17;2,6;6,1;0;31,1;27,9;26,2;74,8;59;2;
2000-01-18;2,8;11,2;1,6;31,5;28,1;25,7;68,3;53;3,4;
2000-01-19;3,5;9,3;0;32;28,2;26,1;64,8;55;2,9;
2000-01-20;3,4;9,5;0;32,5;28,3;26,2;67,3;48;3,3;
2000-01-21;3,4;7,7;0;32,1;28;26,4;69;51;3,4;
2000-01-22;2,8;7,1;21,9;29,4;27,3;26,3;78,5;69;3,7;
2000-01-23;2,2;10,3;5,6;31,6;28,2;26;67;53;2,7;
2000-01-24;3,4;10,6;0;31,9;28,4;25,7;64,5;52;5;
2000-01-25;3,7;10,4;0;32,4;28,2;26,3;62,5;45;4,4;
2000-01-26;4,1;10,8;0;32,9;28,6;25,5;62;45;4,4;
2000-01-27;4,5;10,5;0;33,1;28,5;26,5;65;48;5,5;
2000-01-28;4,1;11;0;33,8;29,2;26,6;63,8;42;4,4;
2000-01-29;4,1;10,4;0;33,4;28,9;26,3;62;44;5,3;
2000-01-30;5,1;6,4;,8;31,3;28;26,3;68;52;3,7;
2000-01-31;3,4;10,4;0;33,5;29,1;25,4;58,5;41;5,5;
2000-02-01;4,9;11,2;0;34,3;29,7;26,3;57,5;38;5,1;
2000-02-02;4,8;8,1;0;34;29;26,3;60,8;41;2,5;
2000-02-03;3,7;8,8;0;33,3;29;26,7;64,3;46;4,4;
2000-02-04;4,1;7,5;0;33,5;29,2;27;62;42;5,9;
2000-02-05;4,1;9,9;0;33,8;29,1;26,8;64;43;6,6;
2000-02-06;4,3;10,6;0;33,7;29,1;25,2;58;41;6,1;
2000-02-07;4,9;8,8;0;33,8;28,2;26,1;69,5;47;3,2;
2000-02-08;3,2;1,8;5,7;28,3;26;25;79,3;76;3,2;
2000-02-09;2,2;3,3;4,9;30,5;27,1;25;70,5;55;6,1;
2000-02-10;3,2;9,6;0;33,1;28,3;25,3;64,8;39;4,1;
2000-02-11;3,6;11,2;4,4;32,3;28,1;26,4;71,8;51;4,4;
2000-02-12;3,7;10,3;1;32,8;28,2;26;64,8;41;4,8;
2000-02-13;4,2;9,2;0;32,9;28,3;25,8;63,8;43;5,4;
2000-02-14;4,2;6,4;0;31,8;26,8;25,2;74,3;51;5;
2000-02-15;2,9;4,8;4,8;30,7;27,2;25,2;78,3;76;4,8;
2000-02-16;2,5;5,5;0;30,2;26,7;25,4;83,5;74;1,4;
2000-02-17;1,6;7,1;24,4;30,8;27;25,4;75,8;62;3,7;
2000-02-18;2,1;7,5;1,3;30,5;27,3;25,4;72;61;4,4;
2000-02-19;2,8;10,9;0;31,7;27,8;25,6;64,8;53;2,7;
2000-02-20;3;7;0;31,1;26,6;24,6;75,5;60;2,1;
2000-02-21;2,4;10,2;9,3;30,5;26,9;24,3;74,5;62;1,6;
2000-02-22;2,4;9,4;0;31,5;27,4;25,7;74;58;2,4;
2000-02-23;2,3;4,8;59,9;28,3;26,1;24,6;86,5;82;1,8;
2000-02-24;1,2;10,2;8,4;30,4;27,1;25;75,3;67;2,8;
2000-02-25;2,2;6,5;0;30,1;26,9;25,2;78,8;75;2,4;
2000-02-26;2,4;6,5;0;29,4;26,3;24,7;80,5;71;2,8;
2000-02-27;1,8;8,4;37,1;30,4;27;24,6;78;66;2,8;
2000-02-28;2,2;10,5;2,9;30,4;27,5;25,5;72,5;64;3,1;
2000-02-29;2,6;9,1;0;30,9;27,5;24;78,5;73;3,5;
2000-03-01;2,6;8,8;0;30,7;28,1;26,4;81,3;72;3,8;
2000-03-02;2,4;8,4;,8;31,1;28,3;26,8;82,3;73;2,5;
2000-03-03;3;10,7;,1;31,2;28,1;25,8;81,8;76;3,1;
2000-03-04;3,1;8,8;0;31,7;28,6;26,5;83,8;74;2,8;
2000-03-05;3,1;10,2;0;31,9;28,6;26,4;78,5;72;3,2;
2000-03-06;3;9,7;5;31,9;28,6;26,9;82,5;77;2,7;
2000-03-07;3;9,5;0;31,7;28,4;26,4;83;71;1,9;
2000-03-08;3,1;7,6;0;31,2;28,6;26,4;84,3;76;5,9;
2000-03-09;3;6,1;0;30,7;28,1;26,7;86,8;83;3,8;
2000-03-10;2,3;6,1;1,7;30,7;27,7;25,7;90;86;2,2;
2000-03-11;2,1;9,9;,5;31,5;28,1;26,1;83,5;78;4,6;
2000-03-12;2,9;9,9;0;31,1;28;25,4;81,8;76;3,3;
2000-03-13;3,1;9,1;0;31,7;28,4;26,2;83,8;74;4;
2000-03-14;3,1;9,7;0;31,7;28,4;26,5;81,5;71;5,8;
2000-03-15;3,3;9,2;0;32,5;28,7;25,9;80,5;70;3,4;
2000-03-16;3,9;10,2;0;32,5;28,9;25,7;78;70;4,1;
2000-03-17;4;8,9;,1;32,5;29,3;27,2;76;63;3,8;
2000-03-18;4,2;7,9;0;32,7;28,5;26,5;81,5;71;3,8;
2000-03-19;3,2;6,9;26,2;30,3;27,5;26,1;86;82;4,3;
2000-03-20;2,3;10,7;8;31,5;28,2;25,6;86;79;3,7;
2000-03-21;2,9;10,6;0;31,3;28,4;26,4;80;73;3,7;
2000-03-22;3,7;10,8;0;32,7;28,8;26;80,3;68;3,2;
2000-03-23;3,8;10,8;0;32,5;29,2;26,2;78;67;4,8;
2000-03-24;3,9;9,6;2,7;32,8;29,3;26,7;80,3;70;5,5;
2000-03-25;3,9;10,9;0;32,9;28;26;82;73;5,5;
2000-03-26;3,4;9,7;12,2;31,8;28,6;25,4;83;73;3,4;
2000-03-27;3,1;6,3;0;31,6;28,3;27;83;73;4,8;
2000-03-28;2,5;8,7;,6;32,2;27,4;25,8;86,8;77;2,2;
2000-03-29;2,6;1,6;10,2;29,4;27;24,9;90;84;1,7;
2000-03-30;1,8;4,5;0;29,2;26,9;25,6;90,5;87;3,5;
2000-03-31;1,5;7,6;5,7;30,1;27;25;87,3;77;2,9;
2000-04-01;2,3;9,8;0;31,6;28,2;26;83,8;72;4,5;
2000-04-02;2,8;7,7;0;31,7;27,7;25,9;87,5;82;6,2;
2000-04-03;2,4;10,7;10,8;30,8;27,6;25,3;84,8;76;4;
2000-04-04;2,8;10,5;0;32,3;27,9;26,1;81,8;68;4,7;
2000-04-05;3,1;11,1;1,3;32;28,2;25,4;81;70;3,5;
2000-04-06;3,3;8,4;,3;31,9;28,3;26,3;85,3;78;3,2;
2000-04-07;2,9;8,1;25,8;29,7;27;25,4;86,5;81;3,6;
2000-04-08;2,4;10,5;1,3;31,7;26,6;24,5;87,8;80;5,2;
2000-04-09;2,3;7,5;43,7;30,3;26,9;24,2;89,5;81;1,8;
2000-04-10;1,9;9,1;1,3;31;27,8;25,8;88,5;82;3;
2000-04-11;2,1;10,3;40,3;31,1;27,1;25,6;88,3;83;3,5;
2000-04-12;2;9,5;10,3;31,3;27,9;25,3;89;77;2,2;
2000-04-13;1,8;6,3;,1;30,2;27;25,7;91,8;83;1,9;
2000-04-14;1,7;6,7;17,8;29,9;27,5;25,1;92,3;88;2,5;
2000-04-15;1,5;8,9;105,4;30,8;27,2;25,1;91,3;83;1;
2000-04-16;1,5;7,7;2,9;30,2;26,6;24,9;91,8;88;3,9;
2000-04-17;1,3;6,1;7;30,4;26,7;24,8;91,8;83;1,8;
